kode_saham,nama_saham
BBCA,Bank Central Asia
TPIA,Chandra Asri Pacific
BREN,Barito Renewables Energy
BYAN,Bayan Resources
AMMN,Amman Mineral Internasional
BBRI,Bank Rakyat Indonesia
BMRI,Bank Mandiri
DCII,DCI Indonesia
DSSA,Dian Swastatika Sentosa
TLKM,Telkom Indonesia
PANI,Pantai Indah Kapuk Dua
ASII,Astra International
BBNI,Bank Negara Indonesia
BRPT,Barito Pacific
DNET,Indoritel Makmur Internasional
CUAN,Petrindo Jaya Kreasi
ICBP,Indofood CBP Sukses Makmur
BRIS,Bank Syariah Indonesia
SMMA,Sinar Mas Multiartha
BNLI,Bank Permata
AMRT,Sumber Alfaria Trijaya
UNTR,United Tractors
CPIN,Charoen Pokphand Indonesia
ANTM,Aneka Tambang
HMSP,Hanjaya Mandala Sampoerna
INDF,Indofood Sukses Makmur
KLBF,Kalbe Farma
ISAT,Indosat
MLPT,Multipolar Technology
GOTO,GoTo Gojek Tokopedia
UNVR,Unilever Indonesia
PGEO,Pertamina Geothermal Energy
BRMS,Bumi Resources Minerals
AADI,Adaro Andalan Indonesia
BELI,Global Digital Niaga
GEMS,Golden Energy Mines
ADRO,Alamtri Resources Indonesia
SRAJ,Sejahteraraya Anugrahjaya
CASA,Capital Financial Indonesia
MBMA,Merdeka Battery Materials
MDKA,Merdeka Copper Gold
MYOR,Mayora Indah
TBIG,Tower Bersama Infrastructure
MTEL,Dayamitra Telekomunikasi
BUMI,Bumi Resources
NCKL,Trimegah Bangun Persada
BNGA,Bank CIMB Niaga
EXCL,XLSMART Telecom Sejahtera
ADMR,Alamtri Minerals Indonesia
PGAS,Perusahaan Gas Negara
CMRY,Cisarua Mountain Dairy
MEGA,Bank Mega
INCO,Vale Indonesia
MDIY,Daya Intiguna Yasa
MIKA,Mitra Keluarga Karyasehat
MEDC,Medco Energi Internasional
MSIN,MNC Digital Entertainment
CBDK,Bangun Kosambi Sukses
NISP,Bank OCBC NISP
INKP,Indah Kiat Pulp & Paper
EMTK,Elang Mahkota Teknologi
SILO,Siloam International Hospitals
PTBA,Bukit Asam
PNBN,Bank Pan Indonesia
TCPI,Transcoal Pacific
BINA,Bank Ina Perdana
AVIA,Avia Avian
PTRO,Petrosea
TOWR,Sarana Menara Nusantara
JSMR,Jasa Marga
ITMG,Indo Tambangraya Megah
ARTO,Bank Jago
BDMN,Bank Danamon Indonesia
AKRA,AKR Corporindo
BTPN,Bank SMBC Indonesia
HEAL,Medikaloka Hermina
BKSL,Sentul City
MPRO,Maha Properti Indonesia
SRTG,Saratoga Investama Sedaya
MKPI,Metropolitan Kentjana
MAPA,MAP Aktif Adiperkasa
MAPI,Mitra Adiperkasa
FILM,MD Entertainment
YUPI,Yupi Indo Jelly Gum
TAPG,Triputra Agro Persada
FAPA,FAP Agri
BBHI,Allo Bank Indonesia
CTRA,Ciputra Development
PWON,Pakuwon Jati
SMGR,Semen Indonesia
GGRM,Gudang Garam
BSIM,Bank Sinarmas
INTP,Indocement Tunggal Prakarsa
MFIN,Mandala Multifinance
RATU,Raharja Energi Cepu
JPFA,Japfa Comfeed Indonesia
KPIG,MNC Land
TKIM,Pabrik Kertas Tjiwi Kimia
BSDE,Bumi Serpong Damai
IMPC,Impack Pratama Industri
MCOL,Prima Andalan Mandiri
CITA,Cita Mineral Investindo
BBTN,Bank Tabungan Negara
BNII,Bank Maybank Indonesia
BBSI,Krom Bank Indonesia
ARCI,Archi Indonesia
SIDO,Industri Jamu dan Farmasi Sido Muncul
LIFE,MSIG Life Insurance Indonesia
CLEO,Sariguna Primatirta
CMNT,Cemindo Gemilang
ULTJ,Ultra Jaya Milk Industry & Trading Company
MIDI,Midi Utama Indonesia
STTP,Siantar Top
APIC,Pacific Strategic Financial
GOOD,Garudafood Putra Putri Jaya
BUKA,Bukalapak.com
CNMA,Nusantara Sejahtera Raya
SSMS,Sawit Sumbermas Sarana
MLBI,Multi Bintang Indonesia
BFIN,BFI Finance Indonesia
BANK,Bank Aladin Syariah
JSPT,Jakarta Setiabudi Internasional
RISE,Jaya Sukses Makmur Sentosa
PSAB,J Resources Asia Pasifik
AALI,Astra Agro Lestari
BBKP,Bank KB Bukopin
SMSM,Selamat Sempurna
POWR,Cikarang Listrindo
HRUM,Harum Energy
TSPC,Tempo Scan Pacific
BSSR,Baramulti Suksessarana
NICL,PAM Mineral
BTPS,Bank BTPN Syariah
MORA,Mora Telematika Indonesia
SMAR,Sinar Mas Agro Resources and Technology
ESSA,ESSA Industries Indonesia
ALII,Ancara Logistics Indonesia
AUTO,Astra Otoparts
BMAS,Bank Maspion Indonesia
RAJA,Rukun Raharja
SCMA,Surya Citra Media
JRPT,Jaya Real Property
ADMF,Adira Dinamika Multi Finance
INPP,Indonesian Paradise Property
LSIP,Perusahaan Perkebunan London Sumatra Indonesia
SOHO,Soho Global Health
PRAY,Famon Awal Bros Sedaya
SHIP,Sillo Maritime Perdana
BBMD,Bank Mestika Dharma
STAA,Sumber Tani Agung Resources
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten
DSNG,Dharma Satya Nusantara
ENRG,Energi Mega Persada
ACES,Aspirasi Hidup Indonesia
ERAA,Erajaya Swasembada
ABMM,ABM Investama
PNLF,Panin Financial
DAAZ,Daaz Bara Lestari
NSSS,Nusantara Sawit Sejahtera
SSIA,Surya Semesta Internusa
CMNP,Citra Marga Nusaphala Persada
EDGE,Indointernet
SIMP,Salim Ivomas Pratama
TINS,Timah
CARE,Metro Healthcare Indonesia
TLDN,Teladan Prima Agro
DEWA,Darma Henwa
TMAS,Temas
BJTM,Bank Pembangunan Daerah Jawa Timur
ADES,Akasha Wira International
INDY,Indika Energy
CTBN,Citra Tubindo
TOBA,TBS Energi Utama
DMAS,Puradelta Lestari
DUTI,Duta Pertiwi
MTDL,Metrodata Electronics
BALI,Bali Towerindo Sentra
CYBR,ITSEC Asia
EPMT,Enseval Putera Megatrading
KRAS,Krakatau Steel
SMRA,Summarecon Agung
NETV,MDTV Media Technologies
BPII,Batavia Prosperindo Internasional
ANJT,Austindo Nusantara Jaya
LPKR,Lippo Karawaci
PACK,Abadi Nusantara Hijau Investama
TGKA,Tigaraksa Satria
PALM,PT Provident Investasi Bersama
SGER,Sumber Global Energy
SMDR,Samudera Indonesia
FORE,Fore Kopi Indonesia
BIPI,Astrindo Nusantara Infrastruktur
AGRO,Bank Raya Indonesia
OMED,Jayamas Medica Industri
MAYA,Bank Mayapada Internasional
WIFI,Solusi Sinergi Digital
DMND,Diamond Food Indonesia
BNBR,Bakrie & Brothers
ROTI,Nippon Indosari Corpindo
BIRD,Blue Bird
TBLA,Tunas Baru Lampung
MAPB,MAP Boga Adiperkasa
DRMA,Dharma Polimetal
NOBU,Bank Nationalnobu
YULE,Yulie Sekuritas Indonesia
SDRA,Bank Woori Saudara Indonesia 1906
SMDM,Suryamas Dutamakmur
SGRO,Sampoerna Agro
GOLF,Intra GolfLink Resorts
VICI,Victoria Care Indonesia
SAME,Sarana Meditama Metropolitan
MPMX,Mitra Pinasthika Mustika
ARNA,Arwana Citramulia
HEXA,Hexindo Adiperkasa
CASS,Cahaya Aero Services
MSTI,Mastersystem Infotama
GJTL,Gajah Tunggal
MYOH,Samindo Resources
BESS,Batulicin Nusantara Maritim
PBID,Panca Budi Idaman
KIJA,Kawasan Industri Jababeka
PNIN,Paninvest
MTLA,Metropolitan Land
BHAT,Bhakti Multi Artha
VKTR,VKTR Teknologi Mobilitas
HILL,Hillcon
MMLP,Mega Manunggal Property
JARR,Jhonlin Agro Raya
SAMF,Saraswanti Anugerah Makmur
ELSA,Elnusa
TUGU,Asuransi Tugu Pratama Indonesia
SURE,Super Energy
IMAS,Indomobil Sukses Internasional
MNCN,Media Nusantara Citra
CBUT,Citra Borneo Utama
KEJU,Mulia Boga Raya
PSGO,Palma Serasih
PGUN,Pradiksi Gunatama
SMBR,Semen Baturaja
AGRS,Bank IBK Indonesia
SKRN,Superkrane Mitra Utama
AGII,Samator Indo Gas
BOLT,Garuda Metalindo
CENT,Centratama Telekomunikasi Indonesia
UNIC,Unggul Indah Cahaya
CPRO,Central Proteina Prima
BBYB,Bank Neo Commerce
INPC,Bank Artha Graha Internasional
KEEN,Kencana Energi Lestari
SMMT,Golden Eagle Energy
BNBA,Bank Bumi Arta
BISI,BISI International
AMAR,Bank Amar Indonesia
DMMX,Digital Mediatama Maxima
DOID,BUMA Internasional Grup
ASSA,Adi Sarana Armada
MDLA,Medela Potentia
CLAY,Citra Putra Realty
HRTA,Hartadinata Abadi
NIRO,City Retail Developments
MBSS,Mitrabahtera Segara Sejati
ARGO,Argo Pantes
ELPI,Pelayaran Nasional Ekalya Purnamasari
PRDA,Prodia Widyahusada
PTPP,Pembangunan Perumahan
SFAN,Surya Fajar Capital
BACA,Bank Capital Indonesia
MGRO,Mahkota Group
UDNG,Agro Bahari Nusantara
DKFT,Central Omega Resources
BRAM,Indo Kordsa
MARK,Mark Dynamics Indonesia
DGWG,Delta Giri Wacana
HATM,Habco Trans Maritima
PYFA,Pyridam Farma
TRIM,Trimegah Sekuritas Indonesia
MCOR,Bank China Construction Bank Indonesia
ASRI,Alam Sutera Realty
MAHA,Mandiri Herindo Adiperkasa
PORT,Nusantara Pelabuhan Handal
ARKO,Arkora Hydro
RALS,Ramayana Lestari Sentosa
IFII,Indonesia Fibreboard Industry
TOTO,Surya Toto Indonesia
WOOD,Integra Indocabinet
BCAP,MNC Kapital Indonesia
ISSP,Steel Pipe Industry of Indonesia
TOTL,Total Bangun Persada
BABP,Bank MNC Internasional
LPCK,Lippo Cikarang
GMFI,Garuda Maintenance Facility Aero Asia
NICE,Adhi Kartiko Pratama
SONA,Sona Topas Tourism Industry
JAWA,Jaya Agra Wattie
RMKE,RMK Energy
KMTR,Kirana Megatara
VICO,Victoria Investama
DAYA,Duta Intidaya
BUKK,Bukaka Teknik Utama
MINE,Sinar Terang Mandiri
FMII,Fortune Mate Indonesia
BOGA,Bintang Oto Global
BEEF,Estika Tata Tiara
UCID,Uni-Charm Indonesia
BMTR,Global Mediacom
BKSW,Bank QNB Indonesia
APLN,Agung Podomoro Land
TPMA,Trans Power Marine
MBAP,Mitrabara Adiperdana
BHIT,MNC Asia Holding
SUNI,PT Sunindo Pratama
DWGL,Dwi Guna Laksana
LPPF,Matahari Department Store
PNBS,Bank Panin Dubai Syariah
RAAM,Tripar Multivision Plus
ADHI,Adhi Karya
MLIA,Mulia Industrindo
BWPT,Eagle High Plantations
GIAA,Garuda Indonesia
SINI,Singaraja Putra
SMIL,Sarana Mitra Luas
BULL,Buana Lintas Lautan
BGTG,Bank Ganesha
IPCC,Indonesia Kendaraan Terminal
CEKA,Wilmar Cahaya Indonesia
MTMH,Murni Sadar
PSSI,IMC Pelita Logistik
DVLA,Darya-Varia Laboratoria
MSJA,Multi Spunindo Jaya
DNAR,Bank Oke Indonesia
SPTO,Surya Pertiwi
AMAG,Asuransi Multi Artha Guna
KKGI,Resource Alam Indonesia
DATA,Remala Abadi
BMHS,Bundamedik
SCCO,Supreme Cable Manufacturing & Commerce
JTPE,Jasuindo Tiga Perkasa
ERAL,Sinar Eka Selaras
WINS,Wintermar Offshore Marine
WIIM,Wismilak Inti Makmur
DLTA,Delta Djakarta
PMJS,Putra Mandiri Jembar
IMJS,Indomobil Multi Jasa
HERO,DFI Retail Nusantara
PDPP,Primadaya Plastisindo
BUAH,Segar Kumala Indonesia
KBLI,KMI Wire and Cable
BLES,Superior Prima Sukses
ACST,Acset Indonusa
BVIC,Bank Victoria International
FAST,Fast Food Indonesia
BUVA,Bukit Uluwatu Villa
IATA,MNC Energy Investments
AMFG,Asahimas Flat Glass
KINO,Kino Indonesia
ENAK,Champ Resto Indonesia
INDS,Indospring
IFSH,Ifishdeco
MLPL,Multipolar
BBSS,Bumi Benowo Sukses Sejahtera
IPCM,Jasa Armada Indonesia
DEPO,Caturkarda Depo Bangunan
TRST,Trias Sentosa
PNGO,Pinago Utama
CSAP,Catur Sentosa Adiprana
INDR,Indo-Rama Synthetics
CSRA,Cisadane Sawit Raya
INRU,Toba Pulp Lestari
LPGI,Lippo General Insurance
MAIN,Malindo Feedmill
PANR,Panorama Sentrawisata
INET,Sinergi Inti Andalan Prima
MERK,Merck
TRGU,Cerestar Indonesia
ALDO,Alkindo Naratama
JIHD,Jakarta International Hotels & Development
DILD,Intiland Development
NEST,Esta Indonesia
LTLS,Lautan Luas
SIPD,Sreeya Sewu Indonesia
MKTR,Menthobi Karyatama Raya
BSBK,Wulandari Bangun Laksana
BBLD,Buana Finance
CAMP,Campina Ice Cream Industry
CARS,Industri dan Perdagangan Bintraco Dharma
WOMF,Wahana Ottomitra Multiartha
CFIN,Clipan Finance Indonesia
UNIQ,Ulima Nitra
RSCH,Charlie Hospital Semarang
SOCI,Soechi Lines
JKON,Jaya Konstruksi Manggala Pratama
ASGR,Astra Graphia
PANS,Panin Sekuritas
SKLT,Sekar Laut
NFCX,NFC Indonesia
NATO,Surya Permata Andalan
AMOR,Ashmore Asset Management Indonesia
OASA,Maharaksa Biru Energi
AREA,Dunia Virtual Online
ADCP,Adhi Commuter Properti
FPNI,Lotte Chemical Titan
PTSN,Sat Nusapersada
PBSA,Paramita Bangun Sarana
CSMI,Cipta Selera Murni
IPTV,MNC Vision Networks
MCAS,M Cash Integrasi
HGII,Hero Global Investment
MKAP,Multikarya Asia Pasifik Raya
CHIP,Pelita Teknologi Global
TIRA,Tira Austenite
BUDI,Budi Starch & Sweetener
GDST,Gunawan Dianjaya Steel
WIRG,WIR ASIA
HUMI,Humpuss Maritim Internasional
SHID,Hotel Sahid Jaya International
GWSA,Greenwood Sejahtera
TCID,Mandom Indonesia
ARII,Atlas Resources
MDIA,Intermedia Capital
BEST,Bekasi Fajar Industrial Estate
HOKI,Buyung Poetra Sembada
BPFI,Woori Finance Indonesia
ATIC,Anabatic Technologies
TEBE,Dana Brata Luhur
AWAN,Era Digital Media
NELY,Pelayaran Nelly Dwi Putri
GHON,Gihon Telekomunikasi Indonesia
STRK,Lovina Beach Brewery
CMPP,AirAsia Indonesia
IPOL,Indopoly Swakarsa Industry
INDO,Royalindo Investa Wijaya
ARTA,Arthavest
BDKR,Berdikari Pondasi Perkasa
NICK,Charnic Capital
ASLC,Autopedia Sukses Lestari
RELI,Reliance Sekuritas Indonesia
BABY,Multitrend Indo
PTPW,Pratama Widya
SPMA,Suparma
KDSI,Kedawung Setia Industrial
VOKS,Voksel Electric
WSBP,Waskita Beton Precast
PKPK,Perdana Karya Perkasa
WTON,Wijaya Karya Beton
NRCA,Nusa Raya Cipta
PJAA,Pembangunan Jaya Ancol
AXIO,Tera Data Indonusa
GSMF,Equity Development Investment
MINA,Sanurhasta Mitra
BIKE,Sepeda Bersama Indonesia
ITMA,Sumber Energi Andalan
VTNY,Venteny Fortuna International
SULI,SLJ Global
ZONE,Mega Perintis
SMGA,Sumber Mineral Global Abadi
MTWI,Malacca Trust Wuwungan Insurance
HDFA,Radana Bhaskara Finance
DOOH,Era Media Sejahtera
APLI,Asiaplast Industries
PNSE,Pudjiadi & Sons
GUNA,Gunanusa Eramandiri
GRIA,Ingria Pratama Capitalindo
MPPA,Matahari Putra Prima
RANC,Supra Boga Lestari
MITI,Mitra Investindo
AYAM,Janu Putra Sejahtera
BBRM,Pelayaran Nasional Bina Buana Raya
LIVE,Homeco Victoria Makmur
IRRA,Itama Ranoraya
EKAD,Ekadharma International
WINE,Hatten Bali
GTSI,GTS Internasional
JECC,Jembo Cable Company
FORU,Fortune Indonesia
NIKL,Pelat Timah Nusantara
TBMS,Tembaga Mulia Semanan
MDLN,Modernland Realty
BRNA,Berlina
NAIK,Adiwarna Anugerah Abadi
PPRE,PP Presisi
SKBM,Sekar Bumi
VERN,Verona Indah Pictures
PEVE,Penta Valent
BOLA,Bali Bintang Sejahtera
